Hint,y0,Sparsity,Size,Topography,Classification
2.9159,0.62429,0.14,0.39442,0.90385,S
3.582,1.0893,0.0,1.0,0.0,NS
4.7315,1.0652,0.0,1.0,0.0,NS
2.5622,0.74003,0.0,0.4876,0.8683,S
4.0431,0.78036,0.0,0.6116,0.3436,S
4.7897,0.68125,0.0,0.5196,0.93017,S
4.0733,0.49912,0.98,0.3,0.98082,S
4.3012,0.7904399999999999,0.0,0.6512,0.66513,S
2.0592,0.9340799999999999,0.0,0.67,0.31875,S
4.541,0.4553,1.0,0.0,0.0,D
4.7692,1.1839,0.0,1.0,0.0,NS
3.1548,0.88956,0.0,0.6676,0.6762600000000001,S
2.8999,1.0767,0.0,1.0,0.0,NS
2.9159,0.96536,0.0,0.7148,0.30954,S
4.9032,0.8712700000000001,0.0,0.7872,0.51041,S
3.2064,0.96847,0.0,0.73,0.7059,S
4.6622,0.48441000000000006,0.6,0.316,0.96019,S
4.0005,0.8675799999999999,0.0,0.6976,0.066091,S
2.6904,0.44714,1.0,0.0,0.0,D
2.003,0.56863,1.0,0.0,0.0,D
2.0631,0.7943399999999999,0.0,0.4976,0.36278,S
2.1676,1.0305,0.0,0.7572,0.6461399999999999,S
3.9735,0.99624,0.0,0.9112,0.050263999999999996,NS
4.7145,0.67014,0.0,0.5192,0.71731,S
3.2406,1.183,0.0,1.0,0.0,NS
3.0419,1.1759,0.0,1.0,0.0,NS
4.3703,0.60545,0.0,0.4384,0.63185,S
2.9888,0.93468,0.0,0.7064,0.43588000000000005,S
4.1781,0.43998999999999994,1.0,0.0,0.0,D
3.2102,0.54702,1.0,0.0,0.0,D
3.6335,1.1067,0.0,1.0,0.0,NS
3.0708,0.46033999999999997,1.0,0.0,0.0,D
2.7392,1.1311,0.0,1.0,0.0,NS
3.562,1.0009,0.0,0.8064,0.29055,S
3.4004,0.4429,1.0,0.0,0.0,D
4.7307,0.7339899999999999,0.0,0.5756,0.8218700000000001,S
4.7502,1.1534,0.0,1.0,0.0,NS
4.4771,0.72587,0.0,0.5524,0.61544,S
3.6073,0.5707899999999999,0.0,0.36,0.51712,S
3.4154,1.0554,0.0,0.9408,0.0,NS
3.9625,1.1039,0.0,1.0,0.0,NS
4.9837,0.47891999999999996,0.1,0.31911,0.8792399999999999,S
4.8356,0.68724,0.0,0.5352,0.35223000000000004,S
4.1549,0.81395,0.0,0.6268,0.5726600000000001,S
4.5239,0.54838,0.0,0.3924,0.80489,S
3.9789,1.1865,0.0,1.0,0.0,NS
4.6835,1.1307,0.0,1.0,0.0,NS
3.2316,1.0245,0.0,0.8232,0.20844000000000001,S
3.3463,1.0378,0.0,0.9828,0.1577,NS
2.128,0.7410899999999999,0.02,0.45183999999999996,0.6632899999999999,S
4.9745,0.8176100000000001,0.0,0.7064,0.88355,S
4.8418,0.62698,0.0,0.4848,0.80585,S
3.2071,0.9532200000000001,0.0,0.7716,0.091894,S
3.8853,1.1165,0.0,1.0,0.0,NS
4.6135,0.5352899999999999,0.0,0.3888,0.8946799999999999,S
2.4964,0.62951,0.98,0.34,0.98082,S
4.7929,1.0929,0.0,1.0,0.0,NS
2.6401,0.41695,1.0,0.0,0.0,D
4.8292,1.0001,0.0,0.9152,0.045468,NS
2.6406,0.72992,0.0,0.5236,0.58053,S
2.6447,1.0067,0.0,0.7696,0.47357,S
2.8056,1.0474,0.0,0.898,0.0,S
4.401,1.1169,0.0,1.0,0.0,NS
4.577,1.0642,0.0,1.0,0.0,NS
3.4973,0.7369899999999999,0.0,0.5392,0.49956999999999996,S
3.9277,0.73654,0.0,0.5588,0.82552,S
4.2417,0.83199,0.0,0.644,0.4683,S
4.0499,0.9802200000000001,0.0,0.7984,0.32806,S
2.7964,1.1723,0.0,1.0,0.0,NS
4.9292,0.51822,0.0,0.36,0.86859,S
4.2799,1.1163,0.0,1.0,0.0,NS
4.1822,0.89931,0.0,0.7536,0.57487,S
2.7557,1.0322,0.0,0.7484,0.0,S
2.3277,0.42691,1.0,0.0,0.0,D
3.487,0.99344,0.0,0.8244,0.023405000000000002,S
4.0223,0.70977,0.0,0.5412,0.36259,S
2.4624,0.47626999999999997,1.0,0.0,0.0,D
3.8794,0.43654,1.0,0.0,0.0,D
2.2039,0.70855,0.14,0.42883999999999994,0.77369,S
4.511,1.0219,0.0,0.8688,0.032326,S
2.884,0.8316100000000001,0.0,0.6036,0.8572700000000001,S
2.4098,0.67833,0.12,0.40409,0.59483,S
3.585,0.46561,1.0,0.0,0.0,D
4.6315,1.0659,0.0,1.0,0.0,NS
3.9103,0.48693000000000003,1.0,0.0,0.0,D
4.9001,0.86024,0.0,0.7472,0.5756399999999999,S
3.2601,0.84088,0.0,0.624,0.8441200000000001,S
3.5578,0.8291799999999999,0.0,0.6368,0.39011999999999997,S
3.0163,0.41371,1.0,0.0,0.0,D
4.7869,1.1624,0.0,1.0,0.0,NS
4.2443,0.59509,0.0,0.4536,0.31348000000000004,S
4.7198,0.70413,0.0,0.5496,0.87492,S
3.8098,0.84904,0.0,0.6624,0.83511,S
3.7528,0.7909,0.0,0.6224,0.32739,S
2.3402,0.44538,1.0,0.0,0.0,D
2.1583,0.5504100000000001,1.0,0.0,0.0,D
3.8480000000000003,0.94539,0.0,0.7676,0.06340499999999999,S
2.2225,0.6197,1.0,0.0,0.0,D
3.7414,1.176,0.0,1.0,0.0,NS
4.3651,0.9352799999999999,0.0,0.736,0.43328999999999995,S
3.7957,0.85021,0.0,0.6488,0.66868,S
4.0203,1.0797,0.0,1.0,0.0,NS
2.6058,1.0649,0.0,0.9420000000000001,0.028681,NS
4.8078,0.61617,0.0,0.47,0.82158,S
2.5171,0.65425,0.26,0.42649,0.9167799999999999,S
2.5238,0.81786,0.0,0.6056,0.7381300000000001,S
4.3576,0.8607600000000001,0.0,0.7236,0.32537,S
2.7104,0.80704,0.0,0.5664,0.17995,S
2.9843,1.1205,0.0,1.0,0.0,NS
3.7773,0.44168,1.0,0.0,0.0,D
3.1758,0.8958200000000001,0.0,0.7312,0.33976,S
4.0477,0.51368,0.88,0.31,0.9712200000000001,S
3.3181,1.0881,0.0,1.0,0.0,NS
2.0746,0.94935,0.0,0.6652,0.51415,S
3.0384,0.55676,1.0,0.0,0.95683,D
4.3385,1.105,0.0,1.0,0.0,NS
2.7844,0.49709,1.0,0.0,0.0,D
2.6839,0.49378999999999995,1.0,0.0,0.0,D
4.4135,0.7518699999999999,0.0,0.5744,0.58072,S
2.7306,1.0373,0.0,0.8148,0.71118,S
3.5953,1.1241,0.0,1.0,0.0,NS
2.6785,0.7884899999999999,0.0,0.5584,0.72,S
2.3406,0.52847,1.0,0.0,0.0,D
3.5835,0.7994100000000001,0.0,0.6012,0.40729,S
4.5998,0.44576000000000005,1.0,0.0,0.0,D
3.3674,0.46684,1.0,0.0,0.0,D
2.3213,1.1341,0.0,1.0,0.0,NS
4.3152,1.1112,0.0,1.0,0.0,NS
3.0224,1.0621,0.0,0.968,0.0,NS
3.9085,0.9940100000000001,0.0,0.9956,0.08633099999999999,NS
3.3843,0.54064,1.0,0.0,0.0,D
2.2471,0.55009,1.0,0.0,0.0,D
