Hint,y0,Sparsity,Size,Topography,Classification
inf,1.0383,0,1.0,0.0,NS
inf,0.61327,0,0.6028,0.72221,S
inf,0.81433,0,0.8364,0.1742,S
inf,1.0208,0,1.0,0.0,NS
inf,0.70055,0,0.6679999999999999,0.43165,S
inf,0.79177,0,0.7292,0.5546300000000001,S
inf,0.77941,0,0.722,0.67165,S
inf,0.53183,0,0.5112,0.49765,S
inf,0.44186000000000003,0,0.434,0.7762100000000001,S
inf,0.9849399999999999,0,1.0,0.0,NS
inf,0.60915,0,0.5688,0.80787,S
inf,0.7549100000000001,0,0.7124,0.89161,S
inf,0.8781100000000001,0,0.7828,0.21266,S
inf,0.9443600000000001,0,1.0,0.0,NS
inf,0.68519,0,0.6579999999999999,0.5302600000000001,S
inf,0.50429,0,0.4792,0.63213,S
inf,0.8016300000000001,0,0.7328,0.25343000000000004,S
inf,1.0017,0,1.0,0.0,NS
inf,1.0795,0,1.0,0.0,NS
inf,0.73701,0,0.6732,0.38273,S
inf,0.92238,0,1.0,0.0,NS
inf,1.0375,0,1.0,0.0,NS
inf,0.42863999999999997,0,0.4324,0.88297,S
inf,1.0395,0,1.0,0.0,NS
inf,1.1104,0,1.0,0.0,NS
inf,0.42183999999999994,0,0.408,0.6823,S
inf,0.53418,0,0.5024,0.41381,S
inf,0.8681700000000001,0,0.84,0.0,S
inf,1.1998,0,1.0,0.0,NS
inf,0.44391,0,0.42200000000000004,0.88182,S
inf,0.69214,0,0.636,0.25429,S
inf,0.71477,0,0.6876,0.3907,S
inf,1.0687,0,1.0,0.0,NS
inf,1.1354,0,1.0,0.0,NS
inf,1.063,0,1.0,0.0,NS
inf,0.95042,0,1.0,0.0,NS
inf,0.72082,0,0.6756,0.36048,S
inf,0.8582799999999999,0,0.8228,0.31482,S
inf,1.052,0,1.0,0.0,NS
inf,0.49,0,0.4628,0.90475,S
inf,0.76762,0,0.9492,0.0,NS
inf,0.7135,0,0.6552,0.26331,S
inf,0.86215,0,0.7864,0.75588,S
inf,0.64825,0,0.598,0.59914,S
inf,0.6783399999999999,0,0.6344,0.51808,S
inf,1.0778,0,1.0,0.0,NS
inf,0.41193,0,0.4016,0.51885,S
inf,1.18,0,1.0,0.0,NS
inf,0.8870600000000001,0,0.8324,0.42436,S
inf,0.96573,0,1.0,0.0,NS
inf,0.80355,0,0.7348,0.78897,S
inf,1.1579,0,1.0,0.0,NS
inf,0.65066,0,0.5844,0.9514600000000001,S
inf,1.0391,0,1.0,0.0,NS
inf,0.7026,0,0.6624,0.47308999999999996,S
inf,1.0938,0,1.0,0.0,NS
inf,1.136,0,1.0,0.0,NS
inf,0.99135,0,1.0,0.0,NS
inf,0.53788,0,0.526,0.53017,S
inf,0.72573,0,0.7152,0.69688,S
inf,0.74231,0,0.7376,0.5220100000000001,S
inf,0.80387,0,0.7152,0.82436,S
inf,1.0352,0,1.0,0.0,NS
inf,0.66371,0,0.6348,0.35252,S
inf,0.44963000000000003,0,0.4464,0.88576,S
inf,1.1878,0,1.0,0.0,NS
inf,0.46171,0,0.4424,0.72307,S
inf,0.72607,0,0.6496,0.2824,S
inf,1.0049,0,1.0,0.0,NS
inf,0.9755799999999999,0,1.0,0.0,NS
inf,0.40486,0,0.392,0.5332399999999999,S
inf,1.0603,0,1.0,0.0,NS
inf,0.7841100000000001,0,0.7176,0.48958999999999997,S
inf,1.0933,0,1.0,0.0,NS
inf,0.85011,0,0.8772,0.14187,S
inf,0.74256,0,0.7104,0.8657100000000001,S
inf,0.46641000000000005,0,0.4424,0.2801,S
