theta_u,Max_L,Sparsity,Size,Topography,Classification
0.42682,0.64202,0.0,0.3876,0.97103,S
0.45071000000000006,0.34163000000000004,0.0,0.2228,0.9646,S
0.48143,0.86119,0.0,0.46,0.34906,S
0.45075,0.7589100000000001,0.0,0.4248,0.75376,S
0.39371999999999996,0.9129299999999999,0.0,1.0,0.0,NS
0.38393,0.4735,0.0,0.3464,0.60844,S
0.49444,0.57457,0.0,0.2764,0.98436,S
0.51266,0.52673,0.0,0.2404,0.9675799999999999,S
0.37156999999999996,0.57115,0.0,0.42,0.7718,S
0.32918000000000003,0.35931,0.0,0.3336,0.9336200000000001,S
0.5949800000000001,0.41263,0.0,0.13155999999999998,0.98851,S
0.65155,0.5885199999999999,0.0,0.12,0.98561,S
0.32631,0.65199,0.0,0.616,0.8214899999999999,S
0.61073,0.31587,0.0,0.12,0.98241,S
0.69213,0.90241,0.0,0.12,0.9436700000000001,S
0.49528,0.6965100000000001,0.0,0.3224,0.94494,S
0.56942,0.29875999999999997,0.0,0.12308,0.9874299999999999,S
0.4258,0.79776,0.0,0.5272,0.84211,S
0.5734,0.4612,0.0,0.16128,0.78467,S
0.31623,0.33748,0.0,0.3308,0.94331,S
0.35849000000000003,0.68706,0.0,0.5512,0.74638,S
0.33337,0.20182999999999998,0.0,0.2256,0.9830200000000001,S
0.34275,0.59296,0.0,0.4836,0.93679,S
0.65056,0.69582,0.0,0.13297,0.92671,S
0.30628,0.36054,0.0,0.3588,0.9199,S
0.51351,0.71192,0.0,0.3072,0.94811,S
0.5436300000000001,0.9963299999999999,0.0,0.4628,0.6729,S
0.56401,0.48933999999999994,0.0,0.1804,0.84201,S
0.35802,0.81565,0.0,1.0,0.0,NS
0.31145,0.3719,0.0,0.36,0.8995700000000001,S
0.53632,0.30978,0.0,0.1436,0.9718899999999999,S
0.33211,0.20861999999999997,0.0,0.226,0.9629700000000001,S
0.40831,0.9403,0.0,1.0,0.0,NS
0.30609000000000003,0.2073,0.0,0.2452,0.9738100000000001,S
0.37225,0.33526,0.0,0.278,0.9719899999999999,S
0.30198,0.98141,0.0,1.0,0.0,NS
0.48408,0.79775,0.0,0.39399999999999996,0.9003399999999999,S
0.37875,0.37545,0.0,0.2964,0.69103,S
0.53418,0.97239,0.0,0.4632,0.9500200000000001,S
0.30078,0.54099,0.0,0.5152,0.95444,S
