index,Hint,theta_u,Sparsity,Size,Topography,Classification
31,2.2105,0.57368,0,0.1448,0.87981,S
33,2.2105,0.5947399999999999,0,0.12043,0.60029,S
44,2.4211,0.57368,0,0.1756,0.86993,S
45,2.6316,0.57368,0,0.2004,0.9671,S
46,2.4211,0.5947399999999999,0,0.1428,0.9456100000000001,S
47,2.6316,0.5947399999999999,0,0.1644,0.98034,S
48,2.4211,0.61579,0,0.12,0.96911,S
49,2.6316,0.61579,0,0.1404,0.79693,S
58,2.8421,0.57368,0,0.22,0.77544,S
59,3.0526,0.57368,0,0.2304,0.87472,S
60,2.8421,0.5947399999999999,0,0.1832,0.9086799999999999,S
61,3.0526,0.5947399999999999,0,0.2008,0.8567899999999999,S
62,2.8421,0.61579,0,0.1596,0.92624,S
63,3.0526,0.61579,0,0.174,0.9021600000000001,S
64,2.8421,0.63684,0,0.1252,0.98187,S
65,3.0526,0.63684,0,0.1456,0.97285,S
67,3.0526,0.65789,0,0.12,0.9693,S
72,3.2632,0.57368,0,0.2408,0.9336200000000001,S
73,3.4737,0.57368,0,0.2588,0.7759199999999999,S
74,3.2632,0.5947399999999999,0,0.2184,0.92748,S
75,3.4737,0.5947399999999999,0,0.2212,0.9651799999999999,S
76,3.2632,0.61579,0,0.1848,0.78062,S
77,3.4737,0.61579,0,0.1984,0.94724,S
78,3.2632,0.63684,0,0.1588,0.82034,S
79,3.4737,0.63684,0,0.1716,0.9787100000000001,S
80,3.2632,0.65789,0,0.1324,0.9724700000000001,S
81,3.4737,0.65789,0,0.14,0.7299800000000001,S
83,3.4737,0.67895,0,0.12,0.9391799999999999,S
86,3.4127,0.51117,0,0.3456,0.79089,S
87,3.5833,0.49095,0,0.3916,0.66484,S
88,3.3853,0.6663,0,0.13152,0.93922,S
89,4.2131,0.68908,0,0.13187000000000001,0.9301,S
90,3.2175,0.57471,0,0.2356,0.85103,S
93,3.7308,0.5503,0,0.2976,0.96288,S
94,2.7418,0.46553999999999995,0,0.3796,0.97305,S
96,4.3199,0.43877,0,0.5436,0.85487,S
97,2.0135,0.43613999999999997,0,0.3424,0.77717,S
99,4.8873,0.6691,0,0.16552999999999998,0.8694299999999999,S
102,2.6367,0.49795,0,0.3124,0.61554,S
103,4.5149,0.47563,0,0.4528,0.8839299999999999,S
104,4.4646,0.45411,0,0.5012,0.61132,S
105,2.5477,0.55005,0,0.222,0.84115,S
106,4.9649,0.6016600000000001,0,0.2624,0.97391,S
107,3.5582,0.41713999999999996,0,0.5708,0.83645,S
108,2.8306,0.49537,0,0.3344,0.5625899999999999,S
109,4.7786,0.48591999999999996,0,0.4412,0.8448,S
113,3.7506,0.42058,0,0.5752,0.5784199999999999,S
114,3.5843,0.50888,0,0.3616,0.57065,S
115,2.5386,0.4794,0,0.3384,0.47856000000000004,S
116,3.8749,0.49415,0,0.4012,0.9534799999999999,S
117,4.6635,0.44504,0,0.5428,0.73564,S
118,4.5892,0.40648,0,0.8624,0.74753,S
119,4.3255,0.52695,0,0.3548,0.52681,S
123,4.8817,0.49444,0,0.4272,0.9061899999999999,S
124,3.6683,0.4279,0,0.5372,0.93966,S
125,2.3329,0.44725,0,0.37,0.5986600000000001,S
126,2.6364,0.43951999999999997,0,0.4208,0.8588,S
128,2.7053,0.61717,0,0.14,0.64935,S
130,4.5481,0.5888399999999999,0,0.2712,0.8541,S
131,4.9904,0.56238,0,0.3156,0.55252,S
133,4.8257,0.67801,0,0.15209,0.9001600000000001,S
134,4.032,0.64877,0,0.1698,0.97851,S
138,2.9096,0.52405,0,0.2896,0.9105,S
140,3.1178,0.57317,0,0.2312,0.44728999999999997,S
142,2.3779,0.60188,0,0.13267,0.98141,S
144,3.2535,0.60085,0,0.2,0.8321299999999999,S
145,3.7375,0.46724,0,0.4424,0.9458,S
147,4.0213,0.5618,0,0.2932,0.72537,S
149,2.7007,0.56489,0,0.22,0.9767899999999999,S
151,2.3832,0.5748300000000001,0,0.162,0.97429,S
152,2.2372,0.4061,0,0.4456,0.5999,S
154,2.3219,0.53166,0,0.2284,0.77659,S
155,2.6060000000000003,0.44301999999999997,0,0.4092,0.8983200000000001,S
156,4.9947,0.5766,0,0.3,0.81794,S
157,4.3518,0.5857600000000001,0,0.2704,0.63827,S
158,3.8241,0.57107,0,0.2688,0.8521799999999999,S
160,4.6643,0.45156,0,0.5088,0.9601,S
161,2.3126,0.43806999999999996,0,0.3812,0.89439,S
162,3.3625,0.43372,0,0.5032,0.5908899999999999,S
163,4.8305,0.47105,0,0.4712,0.37688,S
165,4.236000000000001,0.5364399999999999,0,0.3404,0.46916,S
166,4.4651,0.42521000000000003,0,0.6036,0.80192,S
167,2.9106,0.40004,0,0.5724,0.31386,S
171,2.4113,0.43671000000000004,0,0.4008,0.76125,S
172,2.3622,0.54004,0,0.2136,0.94647,S
173,3.7951,0.64731,0,0.1619,0.9286700000000001,S
174,2.5408,0.48006000000000004,0,0.3336,0.93775,S
178,4.9129,0.53418,0,0.3608,0.86187,S
179,3.259,0.34252,0,1.0,0.0,NS
181,2.1282,0.36517,0,0.5548,0.35108,S
182,4.603,0.33566999999999997,0,1.0,0.0,NS
183,4.61,0.39952,0,1.0,0.0,NS
184,4.9718,0.33004,0,1.0,0.0,NS
185,3.9238,0.33387,0,1.0,0.0,NS
188,2.4109,0.37656,0,0.5820000000000001,0.67194,S
189,2.5613,0.35783000000000004,0,0.9520000000000001,0.017458,NS
190,4.9561,0.39854,0,1.0,0.0,NS
191,3.8101,0.3213,0,1.0,0.0,NS
192,4.3194,0.38293,0,1.0,0.0,NS
193,4.1553,0.30351,0,1.0,0.0,NS
195,4.684,0.31958000000000003,0,1.0,0.0,NS
196,2.0382,0.32652,0,1.0,0.0,NS
197,4.0065,0.6562399999999999,0,0.16383,0.71434,S
198,3.4339,0.6452,0,0.15143,0.68643,S
200,3.0987,0.64181,0,0.13867000000000002,0.84345,S
201,3.0082,0.6059,0,0.1824,0.9285399999999999,S
203,4.0054,0.68815,0,0.12514,0.49563999999999997,S
205,4.3197,0.68417,0,0.13792000000000001,0.93084,S
207,3.3712,0.65285,0,0.13777999999999999,0.81209,S
208,2.4598,0.61343,0,0.12258,0.72124,S
209,2.5725,0.62224,0,0.12324,0.98436,S
210,3.7368,0.6368,0,0.1804,0.68537,S
211,3.5706,0.64686,0,0.1584,0.91204,S
214,4.441,0.69524,0,0.12821,0.84173,S
215,4.9681,0.61458,0,0.2476,0.83357,S
216,4.5214,0.7056100000000001,0,0.12222000000000001,0.9689200000000001,S
220,2.1924,0.41063,0,0.43200000000000005,0.43022,S
221,3.162,0.44806999999999997,0,0.4468,0.8383700000000001,S
222,4.6352,0.53152,0,0.3516,0.8686799999999999,S
223,3.6381,0.48283999999999994,0,0.4,0.82724,S
224,3.5714,0.42886,0,0.5296,0.70743,S
225,4.5445,0.34368000000000004,0,1.0,0.0,NS
226,4.2479,0.39069,0,1.0,0.0,NS
227,3.2184,0.35364,0,1.0,0.0,NS
228,3.0608,0.65633,0,0.12571,0.23118000000000002,S
229,3.2974,0.6510699999999999,0,0.13230999999999998,0.96672,S
