Hint,theta_u,Sparsity,Size,Topography,Classification
2.9475,0.31335999999999997,0.0,1.0,0.0,NS
4.0962,0.35786999999999997,0.0,1.0,0.0,NS
2.2769,0.4499,1.0,0.0,0.0,D
4.1914,0.30946999999999997,0.0,1.0,0.0,NS
2.478,0.34085,0.0,0.9692,0.096691,NS
2.9501,0.40514,1.0,0.0,0.0,D
2.1143,0.36389,1.0,0.0,0.0,D
3.6931,0.3949,0.84,0.4675,0.94065,S
3.6189999999999998,0.44325,1.0,0.0,0.0,D
4.0837,0.4444,1.0,0.0,0.0,D
3.8689,0.30425,0.0,1.0,0.0,NS
3.9733,0.34698,0.0,1.0,0.0,NS
2.1193,0.42149,1.0,0.0,0.0,D
2.1207,0.34751,1.0,0.0,0.0,D
2.5105,0.37201,1.0,0.0,0.0,D
3.2892,0.3238,0.0,1.0,0.0,NS
2.8052,0.39298,1.0,0.0,0.0,D
2.9168,0.41176,1.0,0.0,0.0,D
2.9628,0.30615,0.0,1.0,0.0,NS
2.2154,0.37081,1.0,0.0,0.0,D
2.3944,0.36885,1.0,0.0,0.0,D
4.4945,0.43455,1.0,0.0,0.0,D
4.8935,0.32406999999999997,0.0,1.0,0.0,NS
2.8814,0.31074,0.0,1.0,0.0,NS
2.7261,0.39832,1.0,0.0,0.0,D
2.9175,0.38931,1.0,0.0,0.0,D
2.8069,0.36203,0.88,0.52,0.9456399999999999,S
3.6843,0.32336,0.0,1.0,0.0,NS
3.5836,0.42144,1.0,0.0,0.0,D
4.7904,0.43317,1.0,0.0,0.0,D
4.9005,0.39205,0.0,0.892,0.26129,S
2.4991,0.35834,1.0,0.0,0.0,D
4.1908,0.39534,0.28,0.54556,0.8525200000000001,S
3.2456,0.38533,0.92,0.43,0.9868100000000001,S
4.86,0.4269,1.0,0.0,0.0,D
4.33,0.39231,0.06,0.56383,0.47712,S
2.7614,0.39501,1.0,0.0,0.0,D
3.2369,0.34709,0.0,1.0,0.0,NS
4.4957,0.32732,0.0,1.0,0.0,NS
3.9539,0.31645,0.0,1.0,0.0,NS
2.0419,0.39968000000000004,1.0,0.0,0.0,D
3.9168,0.34857,0.0,1.0,0.0,NS
2.271,0.41996999999999995,1.0,0.0,0.0,D
3.4329,0.30826,0.0,1.0,0.0,NS
4.0359,0.3597,0.0,1.0,0.0,NS
2.6762,0.40024,1.0,0.0,0.0,D
4.2407,0.37676,0.0,1.0,0.0,NS
4.6809,0.34848,0.0,1.0,0.0,NS
4.6975,0.36351,0.0,1.0,0.0,NS
3.8504,0.37348000000000003,0.02,0.74327,0.5977100000000001,S
3.1749,0.41289,1.0,0.0,0.0,D
3.1373,0.43331000000000003,1.0,0.0,0.0,D
2.6478,0.44865,1.0,0.0,0.0,D
4.9282,0.40774,0.0,0.5852,0.39952,S
3.6228,0.33881,0.0,1.0,0.0,NS
3.1586,0.42588000000000004,1.0,0.0,0.0,D
4.548,0.42788000000000004,1.0,0.0,0.0,D
3.574,0.33557,0.0,1.0,0.0,NS
4.9123,0.36559,0.0,1.0,0.0,NS
2.5576,0.38239,1.0,0.0,0.0,D
4.2341,0.38674000000000003,0.0,0.6972,0.69938,S
2.0103,0.42666000000000004,1.0,0.0,0.0,D
2.105,0.35451,1.0,0.0,0.0,D
4.7882,0.33215,0.0,1.0,0.0,NS
2.7785,0.40394,1.0,0.0,0.0,D
4.0296,0.42891,1.0,0.0,0.0,D
4.002,0.44093000000000004,1.0,0.0,0.0,D
2.9401,0.31685,0.0,1.0,0.0,NS
4.98,0.4401,1.0,0.0,0.0,D
4.091,0.33646,0.0,1.0,0.0,NS
3.6572,0.44956,1.0,0.0,0.0,D
3.2355,0.4184,1.0,0.0,0.0,D
4.5057,0.30679,0.0,1.0,0.0,NS
4.5848,0.34922,0.0,1.0,0.0,NS
2.6081,0.43654,1.0,0.0,0.0,D
