theta_u,Max_L,Sparsity,Size,Topography,Classification
0.48115,0.46442,0.0,0.3296,0.9723700000000001,S
0.6384,0.5159699999999999,0.0,0.226,0.9782299999999999,S
0.7801600000000001,0.81335,0.0,0.1648,0.9671,S
0.56381,0.33983,0.0,0.2116,0.98388,S
0.63655,0.6955,0.0,0.29,0.97583,S
0.72015,0.66832,0.0,0.1992,0.76671,S
0.30167,0.39108000000000004,0.0,0.4748,0.55233,S
0.5303800000000001,0.96635,0.0,1.0,0.0,NS
0.65785,0.80865,0.0,0.304,0.9674799999999999,S
0.50948,0.36254000000000003,0.0,0.258,0.9652799999999999,S
0.32468,0.9804200000000001,0.0,1.0,0.0,NS
0.58809,0.44356999999999996,0.0,0.2404,0.94235,S
0.32566,0.25593,0.0,0.3228,0.93995,S
0.5746600000000001,0.27058000000000004,0.0,0.1776,0.9184700000000001,S
0.37835,0.25774,0.0,0.282,0.99041,S
0.37517,0.6389,0.0,0.7568,0.7977,S
0.76774,0.9539700000000001,0.0,0.2176,0.9707399999999999,S
0.45543999999999996,0.8408899999999999,0.0,1.0,0.0,NS
0.5642699999999999,0.37976,0.0,0.2296,0.9017700000000001,S
0.31723,0.3483,0.0,0.4112,0.93525,S
0.53878,0.9457200000000001,0.0,1.0,0.0,NS
0.48482,0.9521200000000001,0.0,1.0,0.0,NS
0.31387,0.6523800000000001,0.0,1.0,0.0,NS
0.40861,0.30691999999999997,0.0,0.2908,0.91012,S
0.42708999999999997,0.2119,0.0,0.2216,0.97755,S
0.33086,0.9204200000000001,0.0,1.0,0.0,NS
0.53468,0.9542799999999999,0.0,1.0,0.0,NS
0.75345,0.80519,0.0,0.1972,0.4776,S
0.4452,0.4303,0.0,0.342,0.72163,S
0.44953000000000004,0.9387,0.0,1.0,0.0,NS
0.35013,0.87495,0.0,1.0,0.0,NS
0.59608,0.91207,0.0,0.494,0.8720399999999999,S
0.41512,0.6572899999999999,0.0,0.55,0.94024,S
0.31182,0.40166,0.0,0.4672,0.94542,S
0.33034,0.78259,0.0,1.0,0.0,NS
0.52057,0.83183,0.0,0.5604,0.46974,S
0.33812,0.9574600000000001,0.0,1.0,0.0,NS
0.5996100000000001,0.5883,0.0,0.284,0.84921,S
0.39554,0.49871000000000004,0.0,0.43799999999999994,0.94216,S
0.49317,0.58421,0.0,0.3844,0.88326,S
0.5401100000000001,0.31861,0.0,0.2184,0.92671,S
0.6462399999999999,0.45087,0.0,0.1976,0.7621100000000001,S
0.603,0.88797,0.0,0.4444,0.9434100000000001,S
0.36779,0.80567,0.0,1.0,0.0,NS
0.75869,0.95442,0.0,0.2312,0.91914,S
0.49166000000000004,0.96854,0.0,1.0,0.0,NS
0.49198000000000003,0.9739200000000001,0.0,1.0,0.0,NS
0.71992,0.6348600000000001,0.0,0.192,0.97621,S
0.5428,0.75849,0.0,0.4328,0.9509799999999999,S
0.4577,0.49483,0.0,0.3656,0.90945,S
0.40571999999999997,0.42883000000000004,0.0,0.3772,0.89612,S
0.51013,0.85775,0.0,1.0,0.0,NS
0.31342,0.65728,0.0,1.0,0.0,NS
0.43246,0.26068,0.0,0.2488,0.94935,S
0.51848,0.9868399999999999,0.0,1.0,0.0,NS
0.31864000000000003,0.25272,0.0,0.3252,0.98398,S
0.54814,0.6046100000000001,0.0,0.3404,0.84777,S
0.31132,0.23711999999999997,0.0,0.3212,0.93266,S
0.5583100000000001,0.72865,0.0,0.3892,0.5829300000000001,S
0.75562,0.58585,0.0,0.1444,0.9501200000000001,S
0.53362,0.63908,0.0,0.3708,0.67904,S
0.3038,0.27847,0.0,0.3656,0.96825,S
0.48358999999999996,0.8498100000000001,0.0,1.0,0.0,NS
0.56224,0.9394,0.0,1.0,0.0,NS
0.36254000000000003,0.5677399999999999,0.0,0.5428,0.81986,S
0.6131,0.77328,0.0,0.3432,0.94168,S
0.73016,0.76215,0.0,0.2124,0.9778399999999999,S
0.39173,0.26505,0.0,0.276,0.9695,S
0.6495,0.69818,0.0,0.2784,0.7932899999999999,S
0.41526,0.27084,0.0,0.262,0.9745799999999999,S
0.37914000000000003,0.47693,0.0,0.4412,0.9601,S
0.4107,0.56712,0.0,0.4652,0.8113199999999999,S
0.4244,0.40168000000000004,0.0,0.3416,0.9109799999999999,S
0.68776,0.62375,0.0,0.2176,0.88355,S
0.42513,0.8728299999999999,0.0,1.0,0.0,NS
0.34218000000000004,0.6412,0.0,1.0,0.0,NS
