Fraction_cells,Start_frame,End_frame,Duration,Jitter,Amplitude,Participation_rate,Animal_name,Animal_age,Factor_frame
35,13,40,21,7.507978949,0.96495871,60.34482759,AMam06a02,P9,0.27
3,45,50,6,2.516611478,1.101682139,5.172413793,,,0.27
11,59,69,1,3.207944683,1.113032836,18.96551724,,,0.27
3,75,76,2,0.577350269,1.044895674,5.172413793,,,0.27
1,80,80,1,0,1.036206426,1.724137931,,,0.27
38,84,105,7,4.790935015,1.054311748,65.51724138,,,0.27
1,112,112,1,0,1.041603449,1.724137931,,,0.27
17,117,132,9,4.503266788,1.073005827,29.31034483,,,0.27
5,143,149,7,2.387467277,1.095044849,8.620689655,,,0.27
1,160,160,1,0,1.000031904,1.724137931,,,0.27
36,164,173,2,1.608509119,1.147952583,62.06896552,,,0.27
2,180,183,4,2.121320344,1.083926035,3.448275862,,,0.27
5,188,195,8,3.049590136,1.103887698,8.620689655,,,0.27
1,201,201,1,0,1.026344755,1.724137931,,,0.27
6,208,216,9,3.011090611,1.115769199,10.34482759,,,0.27
1,221,221,1,0,1.071045945,1.724137931,,,0.27
9,225,233,8,3.231786572,1.105995676,15.51724138,,,0.27
1,240,240,1,0,0.981485985,1.724137931,,,0.27
1,249,249,1,0,1.019671452,1.724137931,,,0.27
1,264,264,1,0,1.005600922,1.724137931,,,0.27
1,268,268,1,0,1.002290775,1.724137931,,,0.27
1,280,280,1,0,1.052129642,1.724137931,,,0.27
1,292,292,1,0,0.949691092,1.724137931,,,0.27
1,302,302,1,0,1.052327966,1.724137931,,,0.27
1,311,311,1,0,1.018476886,1.724137931,,,0.27
37,331,341,8,2.750921222,1.147415008,63.79310345,,,0.27
3,348,351,4,1.527525232,1.095686281,5.172413793,,,0.27
1,362,362,1,0,1.026313768,1.724137931,,,0.27
3,380,382,3,1.154700538,1.08490381,5.172413793,,,0.27
1,426,426,1,0,0.942201616,1.724137931,,,0.27
1,504,504,1,0,0.911749535,1.724137931,,,0.27
19,511,523,10,3.614460884,1.126308153,32.75862069,,,0.27
1,527,527,1,0,0.999147986,1.724137931,,,0.27
1,569,569,1,0,1.01549471,1.724137931,,,0.27
1,579,579,1,0,1.032495108,1.724137931,,,0.27
45,626,643,10,4.212535406,1.091772755,77.5862069,,,0.27
3,661,663,3,1,1.088251091,5.172413793,,,0.27
